knihy_id,isbn,nazev,pocet_stran,rok_vydani,misto_vydani,nakladatel,vydani,druhy_id,jazyky_id,autor,edice
37,ISBN 978-80-247-2279-5,Podnikové informační systémy : podnik v informační společnosti,283,2008,Praha,Grada,2,1,1,"Basl, Josef -- Blažíček, Roman",Management v informační společnosti
40,ISBN 0-534-94579-1,Fuzzy Systems Toolbox for use with Matlab,,1994,Boston,PWS Publishing Comp.,,1,2,"Beale, Mark -- Demuth, Howard",
43,ISBN 80-247-0300-9,Extrémní programování : knihovna programátora,158,2002,Praha,Grada,,1,1,"Beck, Kent",Moderní programování
48,,Aktualizovaný typografický manuál,1,2005,Praha,Kafka design,4,1,1,"Beran, Vladimír",
51,ISBN 80-7079-639-1,"Vybrané znalostní systémy SAK, SAZE, KEX",240,1994,Praha,VŠE,,1,1,"Berka, Petr",
52,ISBN 80-7259-015-4,Profi_M@rketing na Internetu,162,1999,Praha,Profess Consulting,2,1,1,"Bhattacharee, Edda",
53,ISBN 80-200-0860-8,Algebra : (pro učitelské studium),110,2001,Praha,Academia,1,1,1,"Bican, Ladislav",
54,ISBN 1-56881-230-2,Spatial augmented reality : merging real and virtual worlds,369,2005,Wellesley,A K Peters,,1,2,"Bimber, Oliver -- Raskar, Ramesh",
58,ISBN 978-80-7238-637-6,"Fraus praktický ekonomický slovník : anglicko-český, česko-anglický",432,2007,Plzeň,Fraus,1,1,1,"Blaheta, Radek",
59,ISBN 1-56592-609-0,Perl for System Administration,14,2000,Beijing,O'Reilly,1,1,2,"Blank-edelman, David N.",
60,ISBN 80-247-1095-1,Jak využít internet v marketingu : krok za krokem k vyšší konkurenceschopnosti,156,2005,Praha,Grada,1,1,1,"Blažková, Martina",Manažer
61,ISBN 978-80-7413-001-4,HDRI pro fotografy a počítačové grafiky : High Dynamics Range Imaging = zobrazení vysokého dynamického rozsahu,348,2008,Brno,Zoner Press,1,1,1,"Bloch, Christian",Encyklopedie - grafika a fotografie
62,ISBN 80-247-0416-1,JAVA efektivně : 57 zásad softwarového experta,230,2002,Praha,Grada Publishing,1,1,1,"Bloch, Joshua",Moderní programování
63,ISBN 80-85896-90-7,Mistrovství v Oracle 7 : Ovládáme Client - Server Computing,35,1997,Praha,Computer Press,1,1,1,"Bobrowski, Steve",
64,ISBN 978-80-7201-693-8,"Anglicko-český odborný slovník z oblasti ekonomické, obchodní a finanční",1102,2008,Praha,Linde,4,1,1,"Bočánková, Milena a kol.",
66,ISBN 0-19-457387-7,Oxford English for Computing,212,1997,Oxford,Oxford University Press,1,1,2,"Boeckner, Keith -- Brown, P. Charles",
68,ISBN 0-8053-0594-7,Object Solutions : Managing the Object-Oriented Project,12,1995,Menlo Park,Addison Wesley Publishing,,1,2,"Booch, Grady",
69,ISBN 0-8053-5340-2,Object-Oriented Analysis and Design with Applications,10,1998,Reading,Addison Wesley Longman,2,1,2,"Booch, Grady",
72,ISBN 80-85424-58-4,BIOS IBM PC : Příručka programátora,243,1992,Praha,Grada,,1,1,"Boukal, Vítězslav",Nestůjte za dveřmi
74,ISBN 80-7169-949-7,XML : kompletní průvodce,537,2000,Praha,Grada Publishing,1,1,1,"Bradley, Neil",
76,ISBN 80-85424-27-4,Mikroprocesory Intel 8086-80486,246,1991,Praha,Grada,,1,1,"Brandejs, Michal",Nestůjte za dveřmi
79,ISBN 80-7169-684-6,Delphi 4 : Kompletní kapesní průvodce,598,1999,Praha,Grada Publishing,1,1,1,"Bráza, Jiří",
81,ISBN 80-214-0444-2,Operační a databázové systémy,162,1992,Brno,VUT,2,1,1,"Brodský, Jan -- Staudek, Jan",
82,ISBN 0-8053-0143-7,"Theory of computation : formal languages, automata, and complexity",322,1989,"Redwood City, Calif.",Benjamin/Cummings Pub. Co.,,1,2,"Brookshear, J. Glenn",The Benjamin/Cummings series in computer science
86,ISBN 80-85896-43-5,Microsoft Excel 7.0 : Základní průvodce uživatele,334,1996,Praha,Computer Press,1,1,1,"Brož, Milan -- Brožová, Petra",
89,ISBN 80-251-0230-0,Microsoft Office Excel 2003: podrobná uživatelská příručka,384,2004,Brno,Computer Press,1,1,1,"Brož, Milan",
91,ISBN 80-251-0140-1,Microsoft Office Word 2003 : podrobná uživatelská příručka,392,2004,Brno,Computer Press,1,1,1,"Brož, Milan",
95,ISBN 978-3-540-72078-2,The adaptive web : methods and strategies of web personalization,762,2007,Berlin,Springer,,1,1,"Brusilovsky, Peter",
97,ISBN 80-247-1075-7,"Metodiky vývoje a údržby informačních systémů : kategorizace, agilní metodiky, vzory pro návrh metodiky",163,2005,Praga,Grada Publishing,1,1,1,"Buchalcevová, Alena",Management v informační společnosti
98,ISBN 80-7226-804-X,JSP - JavaServer Pages : podrobný průvodce,381,2003,Praha,Computer Press,1,1,1,"Burd, Barry A.",
99,ISBN 0-471-36089-9,Virtual reality technology,444,2003,Hoboken,Wiley-Interscience,2,1,2,"Burdea, Grigore -- Coiffet, Philippe",
100,ISBN 80-86324-46-X,Nová generace webových technologií : informace v 21. století,264,2005,Praha,VOX,1,1,1,"Bureš, Miroslav -- Morávek, Adam",Webové technologie
101,ISBN 978-80-247-1978-8,Znalostní management a proces jeho zavádění : průvodce pro praxi,212,2007,Praha,Grada,1,1,1,"Bureš, Vladimír",Management v informační společnosti
103,ISBN 0-19-823365-5,Principles of Geographical Information Systems,333,1998,Oxford,Oxford University Press,1,1,2,"Burrough, Peter A. -- Mac Donnell, Rachael A.",
105,ISBN 80-85825-11-2,DOS Odpovědi : Certifikovaná technická podpora,238,1995,Brno,CCB,,1,1,"Campbell, Mary",
106,ISBN 80-85896-42-7,Mistrovství v Delphi - 1. díl,21,1995,Praha,Computer Press,1,1,1,"Cantú, Marco",
107,ISBN 80-85896-42-7,Mistrovství v Delphi - 2. díl,5,1995,Praha,Computer Press,1,1,1,"Cantú, Marco",
108,ISBN 80-85896-75-3,Mistrovství v Delphi 2 - pro Windows 95/NT,46,1996,Praha,Computer Press,1,1,1,"Cantú, Marco",
109,ISBN 80-247-0666-0,Workflow : nástroj manažera pro řízení podnikových procesů,155,2003,Praha,Grada Publishing,2,1,1,"Carda, Antonín -- Kunstová, Renáta",Management v informační společnosti
111,ISBN 1-58720-100-3,LAN switching first-step,384,2005,"Indianapolis, IN",Cisco Press,,1,2,"Castelli, Matthew",
114,ISBN 80-251-1018-4,Flexibilní webdesign : vytváříme přizpůsobitelné a přístupné stránky pomocí XHTML a CSS,227,2006,Brno,Computer Press,1,1,1,"Cederholm, Dan",
116,ISBN 80-85424-69-X,Modelovanie a simulácia na PC : Prax a príklady v jazyku Turbo Pascal 6.0,187,1992,Praha,Grada,,1,9,"Cingel, Viktor",
118,ISBN 80-251-0721-3,Use Cases : jak efektivně modelovat aplikace,262,2005,Brno,CP Books,1,1,1,"Cockburn, Alistair",
121,ISBN 0-256-13812-5,Macroeconomics,23,1995,Chicago,Irwin,2,1,2,"Colander, David C.",
122,ISBN 1-901659-04-6,Dictionary of computing,381,1999,Teddington,Peter Collin Publishing,3,1,2,"Collin, S. M. H.",
123,ISBN 0-948549-88-2,Dictionary of Information Technology,383,1997,Teddington,Peter Collin Publishing,2,1,2,"Collin, S. M. H.",
124,ISBN 0-8144-0593-2,Corporate portals : revolutionizing information access to increase productivity and drive the bottom line,394,2001,New York,Amacom,,1,2,"Collins, Heidi",
125,ISBN 80-251-0760-4,Knowledge management: praktický management znalostí z prostředí předních světových učících seorganizací,236,2005,Brno,Computer Press,1,1,1,"Collison, Chris -- Parcell, Geoff",Praxe manažera
130,ISBN 80-85896-74-5,Microsoft Visual Basic 4.0 : Programátorská dílna,21,1996,Praha,Computer Press,1,1,1,"Craig, John Clark",
131,ISBN 1-932394-61-3,Ajax in action,650,2006,Greenwich,Manning,,1,2,"Crane, Dave -- Pascarello, Eric",
132,ISBN 80-7169-308-1,Jak psát reklamní text,119,1999,Praha,Grada Publishing,1,1,1,"Crha, Ivan -- Křížek, Zdeněk",
138,ISBN 80-85828-27-8,Norton Commander 5.0,127,1995,České Budějovice,Kopp,1,1,1,"Černý, Vladislav -- Kvoch, Martin",
140,ISBN 80-7169-171-2,"Modemy, faxy, BBS a počítačová komunikace",180,1995,Praha,Grada Publishing,2,1,1,"Česenek, Petr",
142,ISBN 0-471-43257-1,"The Semantic Web: a guide to the futureof XML, Web services, and knowledge management",281,2003,Indianapolis,Wiley Publishing,,1,2,"Daconta, Michael C. -- Obrst, Leo Joseph",
143,ISBN 0-7506-7864-X,Knowledge management in theory and practise,356,2005,Boston,Elsevier,,1,2,"Dalkir, Kimiz",
144,ISBN 80-86815-47-1,AJAX a PHP : tvoříme interaktivní webové aplikace profesionálně,320,2006,Brno,Zoner Press,1,1,1,"Darie, Cristian a kol.",Encyklopedie webdesignera
145,ISBN 3-540-26301-2,"Applications and theory of Petri nets 2005. 26th international conference, ICATPN 2005, Miami, USA, June 20-25, 2005: proceedings",474,2005,Berlin,Springer,,1,2,"Darondeau, Philippe",Lecture notes in computer science
147,ISBN 0-201-38590-2,An Introduction to Database Systems,22,2000,Reading,Addison-Wesley,7,1,2,"Date, C.J.",
148,ISBN 0-201-30978-5,Foundation for Object/Relational Databases,21,1998,Reading,Addison-Wesley,,1,2,"Date, C.J. -- Darwen, Hugh",
151,ISBN 1555425682,Tools for teaching,429,1993,San Francisco,Jossey-Bass Publishers,1,1,2,"Davis, Barbara Gross",The Jossey-Bass higher and adult education series
155,ISBN 80-86497-64-X,Macromedia Flash MX 2004 : oficiální výukový kurz,544,2004,Praha,SoftPress,1,1,1,"Dehaan, Jen",
157,ISBN 1-58705-285-7,Network securit fundamentals,,2006,Indianapolis,,,2,2,"DeLaet, Gert -- Schauwers, Gert",
159,ISBN 80-200-0990-6,Grafy a jejich aplikace,257,2002,Praha,Academia,1,1,1,"Demel, Jiří",
160,ISBN 1-56592-699-4,Programming the Perl DBI,16,2000,Beijing,O'Reilly,1,1,2,"Descartes, Alligator -- Bunce, Tim",
161,ISBN 80-246-0139-7,Jak se vyrábí sociologická znalost : příručka pro uživatele,374,2002,Praha,Karolinum,3,1,1,"Disman, Miroslav",
162,ISBN 80-7169-479-7,Ochrana dat v informačních systémech,286,1998,Praha,Grada Publishing,1,1,1,"Dobda, Luboš",
163,ISBN 80-86119-02-5,Architektury informačních systémů : v průmyslových a obchodních podnicích,301,1997,Praha,Ekopress,1,1,1,"Dohnal, Jan -- Pour, Jan",
164,ISBN 80-247-0401-3,"Řízení vztahů se zákazníky : procesy, pracovníci, technologie",161,2002,Praha,Grada Publishing,1,1,1,"Dohnal, Jan",MIS -Management v informační společnosti
165,ISBN 80-247-1338-1,"Pokročilé metody manažerského rozhodování: pro manažery, specialisty, podnikatele a studenty: konkrétní příklady využití metod v praxi",166,2005,Praha,Grada Publishing,1,1,1,"Dostál, Petr -- Rais, Karel",Expert
167,ISBN 80-7226-675-6,Velký průvodce protokoly TCP/IP a systémem DNS,542,2002,Brno,Computer Press,3,1,1,"Dostálek, Libor -- Kabelová, Alena",Komunikace & sítě
169,ISBN 80-86419-71-1,Řízení projektu informačních systémů,162,2004,Praha,Professional Publishing,1,1,1,"Doucek, Petr",
172,ISBN 80-7079-740-1,"Objektově orientované metodiky a technologie : 1. díl, části modely a analýza",193,1997,Praha,VŠE,1,1,1,"Drbal, Pavel",
174,ISBN 0-13-099715-3,Using SET for Secure Electronic Commerce,20,1998,Upper Saddle River,Prentice Hall,,1,2,"Drew, Grady N.",
176,ISBN 80-85603-02-0,Efektivní vedoucí,133,1992,Praha,Management Press,2,1,1,"Drucker, Peter F.",
177,ISBN 80-7261-021-X,Výzvy managementu pro 21. století,187,2000,Praha,Management Press,1,1,1,"Drucker, Peter F.",
179,ISBN 0-19-453333-6,New Success at First Certificate : Workbook,96,1997,Oxford,Oxford University Press,,1,2,"Duckworth, Michael -- Gude, Kathy",
180,ISBN 80-251-0508-3,Návrh a tvorba webů : vytváříme zákaznicky orientovaný web,672,2005,Brno,CP Books,1,1,1,"Duyne, Dougla K. -- Landay, James A.",
183,ISBN 0-13-551656-0,Management Strategies for Information Technology,8,1989,Harlow,Prentice Hall,1,1,2,"Earl, Michael J.",
185,ISBN 80-247-9009-2,Myslíme v jazyku C++ : knihovna programátora,554,2000,Praha,Grada,1,1,1,"Eckel, Bruce",Myslíme v 
186,ISBN 80-247-9009-2,Myslíme v jazyku C++ : knihovna zkušeného programátora,608,2006,Praha,Grada,1,1,1,"Eckel, Bruce -- Allison, Chuck",Myslíme v 
190,ISBN 80-7204-418-4,Vizuální komunikace - písmo,59,2005,Brno,Akademické nakladatelství CERM,1,1,1,"Eliška, Jiří",
193,ISBN 1-56592-268-9,Oracle Design,19,1997,Beijeing,O'Reilly,1,1,2,"Ensor, Dave -- Stevenson, Ian",
198,ISBN 0-7356-1801-1,Applied XML programming for Microsoft. NET,696,2002,Washington,Microsoft Press,,1,2,"Esposito, Dino",
204,ISBN 80-7226-725-6,Mistrovství v Microsoft Access 2002 : Access 2002 do nejmenších podrobností a do posledního detailu,604,2002,Praha,Computer Press,1,1,1,"Feddema, Helen Bell",Databáze
205,ISBN 80-85896-67-2,Encyklopedie počítačových sítí,6,1996,Praha,Computer Press,1,1,1,"Feibel, Werner",
208,ISBN 1-56592-238-7,Advanced Oracle PL/SQL : Programming with Package,26,1996,Cambridge,O'Reilly,1,1,2,"Feuerstein, Steven",
209,ISBN 1-56592-375-8,Oracle Built-in Packages,22,1998,Beijing,O'Reilly,1,1,2,"Feuerstein, Steven -- Dye, Charles",
210,ISBN 0-596-00977-1,Oracle PL/SQL Programming,1171,2005,Beijing,O'Reilly,4,1,2,"Feuerstein, Steven",
212,ISBN 80-7299-047-0,Rozprava proti metodě,430,2001,Praha,Aurora,1,1,1,"Feyerabend, Paul K.",
213,ISBN 80-86419-19-3,Modelování a analýza produkčních systémů,259,2002,Praha,Professional Publishing,1,1,1,"Fiala, Petr",
214,ISBN 80-86419-62-2,Modelování dodavatelských řetězců,168,2005,Praha,Professional Publishing,1,1,1,"Fiala, Petr",
215,ISBN 80-245-0622-X,Modely a metody rozhodování,292,2003,Praha,Oeconomica,1,1,1,"Fiala, Petr",
217,ISBN 0-9703509-8-8,Workflow handbook 2005,320,2005,"Lighthouse Point, Florida",Future Strategies,,1,2,"Fischer, Layna",
218,ISBN 80-7226-626-8,JavaScript : kompletní průvodce,825,2002,Praha,Computer Press,2,1,1,"Flanagan, David",
219,ISBN 80-7226-093-6,JavaScript : kompletní průvodce,710,1998,Praha,Computer Press,1,1,1,"Flanagan, David",
222,ISBN 0-596-00047-2,Mod-Perl : Pocket Reference,7,2001,Beijing,O'Reilly,1,1,2,"Ford, Andrew",
226,ISBN 80-7226-677-2,Macromedia Flash MX : podrobná příručka,355,2002,Praha,Computer Press,1,1,1,"Fotr, Jiří",
227,ISBN 80-247-0299-1,Refaktoring : zlepšení existujícího kódu,394,2003,Praha,Grada,1,1,1,"Fowler, Martin a kol.",Moderní programování
228,ISBN 978-80-251-1485-8,Jak zvládnout testy ECDL,155,2007,Brno,Computer Press,1,1,1,"Franců, Marie",
229,ISBN 80-247-0471-4,Ekonomie,803,2003,Praha,Grada Publishing,,1,1,"Frank, Robert H. -- Bernanke, Ben S.",Profesionál
232,ISBN 80-86497-43-7,Macromedia Flash MX Actionscript : oficiální výukový kurz pro pokročilé,670,2003,Praha,SoftPress,,1,1,"Franklin, Derek -- Makar, Jobe",
233,ISBN 80-86815-24-2,RAW s programem Adobe Photoshop CS,248,2005,Brno,ZONER Press,1,1,1,"Fraser, Bruce",Encyklopedie - grafika a digitální fotografie
235,,Správa barev : průvodce profesionála v grafice a pre-pressu,521,2003,Brno,Computer Press,1,1,1,"Fraser, Bruce -- Murphy, Chris",
236,ISBN 1-56592-257-3,Mastering Regular Expressions : Powerful Techniques for Perl and Other Tools,24,1998,Beijing,O'Reilly,1,1,2,"Friedl, Jeffrey E.F.",
241,ISBN 80-7226-082-0,Bezpečnost v UNIXu a Internetu v praxi,30,1998,,Computer Press,1,1,1,"Garfinkel, Simson -- Spafford, Gene",
244,ISBN 80-7300-138-1,VRML v příkladech,223,2004,Praha,BEN,1,1,1,"Gergelitsová, Šárka",
246,ISBN 0-19-457470-9,Basic English for computing,136,2003,Oxford,Oxford University Press,,1,2,"Glendinning, Eric H -- McEwan, John",
247,ISBN 978-0-19-457492-1,Oxford English for information technology,222,2003,Oxford,Oxford University Press,,1,2,"Glendinning, Eric H. -- McEvan, John",
248,ISBN 1-85233-551-3,"Ontological engineering : with examples from the areas of knowledge management, e-commerce and the Semantic Web",403,2004,London,Springer,,1,2,"Gómez-Pérez, Asunción -- Fernández-López, Mariano",Advanced information and knowledge processing
250,ISBN 0-201-54199-8,The LaTeX companion,30,1994,Reading,Addison-Wesley,,1,2,"Goossens, Michel -- Mittelbach, Frank",
252,ISBN 978-0-201-43311-1,"The LaTeX Web companion : integrating TeX, HTML, and XML",524,1999,Boston,Addison-Wesley,,1,2,"Goossens, Michel -- Rahtz, Sebastian",Addison-Wesley series on tools and techniques for computer typesetting
253,ISBN 80-7169-519-X,Hudba a zvuk na počítači,288,1999,Praha,Grada Publishing,1,1,1,"Grace, Richard",
255,ISBN 80-247-0641-5,Administrace systému Linux : podrobný průvodce začínajícího uživatele,550,2003,Praha,Grada,2,1,1,"Graham, Steven -- Shah, Steve",
256,ISBN 1-56276-232-X,Jak pracuje životní prostředí,212,1995,Brno,UNIS,,1,1,"Gralla, Preston",
258,ISBN 978-80-86815-85-5,"SEO : Search Engine Optimization : ovládněte SEO a získejte výhodu před konkurencí : optimalizujte své webové stránky pro vyhledávací servery : přiveďte na své stránky zákazníky dříve, než to udělá konkurence",328,2007,Brno,Zoner Press,1,1,1,"Grappone, Jennifer -- Couzin, Gradiva",Encyklopedie webdesignera
259,ISBN 80-902824-1-5,Profesionální design na webu,223,2000,Brno,SoftPress,,1,1,"Gray, Daniel",
260,ISBN 0-748-40954-8,Online GIS and spatial metadata,222,2002,London,Taylor & Francis,,1,2,"Green, David -- Bossomaier, Terry Richard John",
261,ISBN 1-879102-87-0,Open Access : GIS in e-Government,110,2001,Redlands,ESRI Press,1,1,2,"Greene, R.W.",
262,ISBN 0-596-00585-7,Oracle Essentials : Oracle database 10g,374,2004,Beijing,O'Reilly,3,1,2,"Greenwald, Rick -- Stackowiak, Robert",
263,ISBN 1-56592-708-7,Oracle Essentials : Oracle8 and Oracle 8i,16,1999,Beijing,O'Reilly,1,1,2,"Greenwald, Rick -- Stackowiak, Robert",
264,ISBN 80-7226-135-5,Intranety : Principy a praxe,20,1999,Praha,Computer Press,1,1,1,"Greer, Tyson",
268,ISBN 80-86497-62-3,Mistrovství v SQL,2,2004,Praha,SoftPress,,1,1,"Gruber, Martin",
271,ISBN 80-7226088-X,CGI programování webových stránek a aplikací,20,1998,Praha,Computer Press,1,1,1,"Gundavaram, Shishir",
273,ISBN 80-251-0799-X,Mistrovství v PHP 5,655,2005,Brno,CP Books,1,1,1,"Gutmans, Andi -- Bakken, Stig Saether",
275,ISBN 1-4196-3036-9,The end of hardware : a novel approach to augmented reality,248,2006,S.l.,BookSurge,,1,2,"Hainich, Rolf R",
276,ISBN 80-7226-445-1,Microsoft Visual Basic 6.0 Professional : Krok za krokem,22,1999,Praha,Computer Press,1,1,1,"Halvorson, Michael",
280,ISBN 80-901475-50,Referenční příručka jazyka C,334,1996,Veletiny,SCIENCE,1,1,1,"Harbison, Samuel P. -- Steele, Guy L. Jr.",
281,ISBN 80-7226-799-X,Začínáme programovat v jazyce Python,456,2003,Brno,Computer Press,1,1,1,"Harms, Daryl D. -- McDonald, Kenneth",
286,ISBN 80-247-0079-4,Flash 5: dynamické a interaktivní efekty: podrobný průvodce začínajícího uživatele,219,2001,Praha,Grada Publishing,1,1,1,"Hartman, Patricia",
291,ISBN 80-247-0900-7,Návrh databází,408,2006,Praha,Grada Publishing,1,1,1,"Hernandez, Michael J.",Profesional
292,ISBN 80-251-0309-9,awk & sed : příručka pro dávkové zpracování textu,254,2004,Brno,Computer Press,1,1,1,"Herold, Helmut",
293,ISBN 80-7169-255-7,Analýza dat v manažerském rozhodování,358,1999,Praha,Grada Publishing,1,1,1,"Hindls, Richard -- Hronová, Stanislava",
294,ISBN 80-7226-016-2,Adobe Photoshop 4.0 CZ/US : Referenční uživatelská příručka,13,1997,Praha,Computer Press,1,1,1,"Hlavenka, Jiří -- Kameník, Václav",
295,ISBN 80-7226-103-7,Adobe Photoshop 5.0 CZ/US : Referenční příručka,15,1998,Praha,Computer Press,,1,1,"Hlavenka, Jiří",
296,ISBN 80-7226-272-6,Adobe Photoshop 5.0/5.5 : Referenční příručka,15,2000,Praha,Computer Press,1,1,1,"Hlavenka, Jiří -- Hercik, Jaroslav",
297,ISBN 80-7226-371-4,Dělejte byznys na Internetu : Jak využít Internet k prospěchu firmy i jednotlivce,226,2001,Praha,Computer Press,1,1,1,"Hlavenka, Jiří",
298,ISBN 80-7226-182-7,Dělejte byznys na Internetu: Jak využít Internet k prospěchu firmy ijednotlivce,205,1999,Praha,Computer Press,1,1,1,"Hlavenka, Jiří",
299,ISBN 80-7226-498-2,"Internetový marketing : praktické rady, tipy, návody a postupy pro využití internetu v marketingu",157,2001,Praha,Computer Press,1,1,1,"Hlavenka, Jiří",Praxe managera
300,ISBN 80-85896-13-3,Nový výkladový slovník výpočetní techniky,275,1995,Praha,Computer Press,2,1,1,"Hlavenka, Jiří",
301,ISBN 80-85896-73-7,Používáme Internet s programem Microsoft Internet Explorer 3.0 US/CZ,11,1996,Praha,Computer Press,1,1,1,"Hlavenka, Jiří",
302,ISBN 80-85896-09-5,QuarkXPress: Podrobná uživatelská příručka : verze 3.1x a 3.3 ZS/CZ pro Windows,6,1996,Praha,Computer Press,1,1,1,"Hlavenka, Jiří",
305,ISBN 80-85896-53-2,Windows 95 - Podrobná referenční příručka,310,1996,Praha,Computer Press,2,1,1,"Hlavenka, Jiří",
308,ISBN 80-85986-01-9,Počítačová grafika a animace,86,1995,Praha,Vogel Publishing,1,1,1,"Hofman, David",
309,ISBN 80-7226-756-6,1001 tipů a triků pro WWW stránky,402,2003,Brno,Computer Press,1,1,1,"Holčík, Tomáš a kol.",
312,ISBN 80-86593-40-1,JavaScript : profesionálně,1071,2003,Brno,Mobil Media,1,1,1,"Holzner, Steven",
315,ISBN 80-247-0652-0,Linux : praktická bezpečnost,438,2003,Praha,Grada Publishing,1,1,1,"Hontanón, Ramón J.",Profesional
316,ISBN 0-321-45536-3,"Introduction to automata theory, languages, and computation",535,2007,Boston,Pearson/Addison Wesley,3,1,2,"Hopcroft, John E. -- Motwani, Rajeev",
318,ISBN 978-80-251-1741-5,Hardware : učebnice pro pokročilé,360,2007,Brno,Computer Press,4,1,1,"Horák, Jaroslav",
319,ISBN 80-247-0447-1,Strategický marketing,200,2003,Praha,Grada Publishing,2,1,1,"Horáková, Helena",
321,ISBN 80-7169-340-5,Od DTP k PRE-PRESSU : Průvodce světem tvorby dokumentů,311,1997,Praha,Grada Publishing,1,1,1,"Horný, Stanislav",
322,ISBN 80-7169-487-7,Počítačová typografie a design dokumentů : Průvodce světem tvorby dokumentů,279,1997,Praha,Grada Publishing,1,1,1,"Horný, Stanislav",
323,ISBN 80-86330-12-5,Java 5,1443,2005,Praha,Neocortex,,1,1,"Horton, Ivor",
326,ISBN 80-85850-58-3,Sociologie vědění : základní koncepce a paradigmata,224,1999,Praha,Sociologické nakladatelství,1,1,1,"Hubík, Stanislav",Základy sociologie
329,ISBN 80-7226-560-1,Data warehousing : návrh a implementace,257,2001,Praha,Computer Press,1,1,2,"Humphries, Mark",Profi
330,ISBN 80-7226-024-3,Konfigurace a správa sítí TCP/IP,16,1997,Praha,Computer Press,1,1,1,"Hunt, Craig",
331,ISBN 80-86497-59-3,Linux : síťové servery,672,2003,Praha,SoftPress,,1,1,"Hunt, Craig",
336,ISBN 80-7238-070-2,Anglicko-český a česko-anglický slovník výpočetní techniky a informačních: technologií,518,2000,Plzeň,FRAUS,1,1,1,"Hynek, Jiří -- Vítkovský, Radmil",Speciál
340,ISBN 1591405416,Adaptable and adaptive hypermedia systems,342,2005,"Hershey, PA",IRM Press,,1,2,"Chen, Sherry Y",
343,ISBN 978-80-247-1369-4,Metody pedagogického výzkumu : základy kvantitativního výzkumu,265,2007,Praha,Grada,1,1,1,"Chráska, Miroslav",
344,ISBN 1-56592-243-3,Perl Cookbook,34,1998,Beijing,O'Reilly,1,1,2,"Christiansen, Tom -- Torkington, Nathan",
345,ISBN 80-7261-007-4,Logistika v marketingu,166,2000,Praha,Management Press,1,1,1,"Christopher, Martin",
347,ISBN 80-7226-268-8,Dynamické HTML,20,2000,Praha,Computer Press,2,1,1,"Isaacs, Scott",Internet profi
348,ISBN 0-256-06671-X,Management : Principles and Functions,17,1989,Homewood,BPI,4,1,2,"Ivancevich, John M. -- Donnelly, James H.",
